id,location,investigation,date_of_accident,date_of_report,time_of_accident,ai_category,body_part,nature_of_injury,type_of_contact,no_of_days_lost,target_closure_date,actual_closure_date,investigation_level
972,Section 5,Yes,02-09-2019,20-09-19,5:30:00 PM,Injury,Hand,Cut / Laceration,"Injured by carrying, handling or lifting",0,04-10-19,30-09-19,Medium
973,Section 5,No,21-09-2019,23-09-19,7:20:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,,23-09-19,N/A
974,Section 2,No,06-09-2019,12-09-19,1:00:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,,,N/A
975,Section 2,No,07-09-2019,12-09-19,12:01:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,,,N/A
976,Section 5,Yes,25-09-2019,25-09-19,11:30:00 AM,Utility Damage,N/A,N/A,N/A,0,09-10-19,30-09-19,Low
977,Section 5,Yes,25-09-2019,25-09-19,3:35:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,,,Low
978,Section 5,Yes,03-10-2019,04-10-19,6:30:00 PM,Injury,Foot / Ankle,Sprain / Strain ,N/A,0,,,Low
979,Section 5,No,03-10-2019,04-10-19,1:00:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,14-10-19,03-10-19,N/A
980,Section 4,Yes,04-10-19,04-10-19,12:00:00 AM,Injury,Foot / Ankle,Sprain / Strain ,"Slip, trip or fall on same level",2,18-10-19,,Medium
981,Section 4,Yes,04-10-19,04-10-19,9:30:00 AM,Utility Damage,N/A,N/A,N/A,0,18-10-19,11-10-19,Medium
982,Section 4,Yes,09-10-2019,09-10-19,9:30:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,23-10-19,,High
983,Section 4,No,09-10-2019,08-10-19,4:40:00 PM,Injury,Foot / Ankle,Sprain / Strain ,"Slip, trip or fall on same level",0,09-10-19,09-10-19,N/A
984,Section 5,Yes,11-10-2019,11-10-19,1:00:00 AM,Utility Damage,N/A,N/A,N/A,0,25-10-19,21-10-19,Medium
985,Section 4,No,15-10-2019,15-10-19,11:30:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,15-10-19,15-10-19,N/A
986,Section 4,No,16-10-2019,16-10-19,2:30:00 PM,Utility Damage,N/A,N/A,N/A,0,17-10-19,17-10-19,N/A
987,Section 5,No,18-10-2019,18-10-19,1:00:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,01-11-19,18-10-19,N/A
988,Section 4,No,17-10-2019,17-10-19,4:45:00 PM,Utility Damage,N/A,N/A,Struck against a fixed or stationary object,0,25-10-19,21-10-19,Low
989,Section 2,No,21-10-2019,21-10-19,2:45:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,22-10-19,22-10-19,Low
990,Section 4,No,22-10-2019,22-10-19,3:30:00 AM,Loss/Damage/Theft,N/A,N/A,Struck against a fixed or stationary object,0,25-10-19,,
991,Central,No,24-10-2019,24-10-19,9:00:00 AM,Illness,Torso,Other,Other,3,24-10-19,24-10-19,N/A
992,Section 5,No,24-10-2019,25-10-19,8:30:00 PM,Road Traffic Accidents,N/A,N/A,N/A,0,07-11-19,30-10-19,Low
993,Section 2,No,25-10-2019,25-10-19,11:15:00 AM,Utility Damage,N/A,N/A,N/A,0,09-11-19,29-10-19,Low
994,Section 5,No,28-10-2019,28-10-19,12:50:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,11-11-19,28-10-19,N/A
995,Section 5,Yes,28-10-2019,28-10-19,12:30:00 PM,Injury,Arm,Sprain / Strain ,"Injured by carrying, handling or lifting",0,11-11-19,04-11-19,Low
996,Section 4,Yes,26-10-2019,28-10-19,12:30:00 PM,Utility Damage,N/A,N/A,Struck against a fixed or stationary object,0,08-11-19,08-11-19,N/A
997,Section 5,No,29-10-2019,29-10-19,2:30:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,09-11-19,30-10-19,N/A
998,Section 2,Yes,30-10-2019,31-10-19,12:30:00 PM,Injury,Leg,Bruise / Contusion,"Slip, trip or fall on same level",1,14-11-19,,Medium
999,Section 5,No,29-10-2019,01-11-19,7:30:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,01-11-19,01-11-19,N/A
1000,Section 4,No,24-09-2019,01-11-19,12:00:00 AM,Injury,Fingers / Thumbs,Bruise / Contusion,Buried / trapped by something collapsing ,0,01-11-19,01-11-19,N/A
1001,Section 2,Yes,05-11-2019,05-11-19,3:45:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,19-11-19,26-11-19,High
1002,Section 4,No,06-11-2019,06-11-2019,4:00:00 PM,Utility Damage,N/A,N/A,Struck against a fixed or stationary object,0,20-11-19,,Low
1003,Section 4,No,07-11-2019,07-11-2019,1:30:00 AM,Utility Damage,N/A,N/A,Struck against a fixed or stationary object,0,28-11-19,18-11-19,Low
1004,Section 5,No,06-11-2019,12-11-19,11:00:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,,,N/A
1005,Section 5,No,08-11-2019,12-11-19,12:00:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,,12-11-19,N/A
1006,Section 5,No,08-11-2019,12-11-19,12:00:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,,12-11-19,N/A
1007,Section 5,No,08-11-2019,12-11-19,5:00:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,,12-11-19,N/A
1008,Section 5,No,12-11-2019,12-11-19,7:00:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,,12-11-19,N/A
1009,Section 5,No,12-11-2019,12-11-19,12:00:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,,14-11-19,N/A
1010,Section 5,No,13-11-2019,13-11-19,7:30:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,,14-11-19,N/A
1011,Section 5,No,12-11-2019,14-11-19,10:40:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,,14-11-19,N/A
1012,Section 4,No,09-11-2019,11-11-19,1:30:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,23-11-19,14-11-19,N/A
1013,Section 4,Yes,15-11-2019,15-11-19,11:00:00 AM,Injury,Foot / Ankle,Sprain / Strain ,"Struck by a falling, flying or moving object",0,22-11-19,22-11-19,Medium
1014,Section 2,Yes,,17-11-19,6:55:00 AM,Loss/Damage/Theft,N/A,N/A,Struck against a fixed or stationary object,0,09-12-19,02-12-19,Medium
1015,Section 2,No,16-11-2019,17-11-19,10:40:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,,,Low
1016,Section 5,No,19-11-2019,19-11-19,10:50:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,03-12-19,19-11-19,N/A
1017,Section 2,No,20-11-2019,20-11-19,10:45:00 AM,Loss/Damage/Theft,N/A,N/A,N/A,0,29-11-19,29-11-19,Low
1018,Section 5,No,20-11-2019,21-11-19,3:30:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,05-12-19,21-11-19,N/A
1019,Section 5,Yes,20-11-2019,20-11-19,10:30:00 AM,Loss/Damage/Theft,N/A,N/A,N/A,0,05-12-19,26-11-19,Low
1020,Section 4,No,25-11-2019,25-11-19,7:30:00 AM,Loss/Damage/Theft,N/A,N/A,N/A,0,09-12-19,06-12-19,Low
1021,Section 5,No,11-11-2019,11-11-19,1:00:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/a,0,,27-11-19,N/A
1022,Section 5,No,15-11-2019,15-11-2019,9:00:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/a,0,,27-11-19,N/A
1023,Section 2,Yes,26-11-2019,26-11-19,4:00:00 PM,Dangerous Occurrence,N/A,N/A,Contact with moving machinery / power equipment,0,,,High
1024,Section 2,Yes,27-11-2019,27-11-19,3:45:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,05-12-19,11-12-19,Medium
1025,Section 5,No,28-11-2019,28-11-19,8:00:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,,,N/A
1026,Section 5,No,28-11-2019,02-12-19,4:10:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,,,N/A
1027,Section 4,No,30-11-2019,02-12-19,2:30:00 PM,Utility Damage,N/A,N/A,N/A,0,14-12-19,16-12-19,Low
1028,Section 2,Yes,04-12-2019,04-12-19,2:45:00 PM,Category 1 / 2 Near Miss,N/A,N/A,Contact with moving machinery / power equipment,0,,,Medium
1029,Section 4,Yes,05-12-2019,05-12-19,9:00:00 AM,Injury,Leg,Cut / Laceration,Contact with moving machinery / power equipment,0,19-12-19,07-01-20,Low
1030,Section 5,No,03-12-2019,06-12-19,12:00:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,,,N/A
1031,Section 5,No,05-12-2019,06-12-19,12:00:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,,,N/A
1032,Section 2,Yes,05-12-2019,05-12-19,5:20:00 PM,Injury,Foot / Ankle,Other,"Slip, trip or fall on same level",0,,,Low
1033,Section 5,No,09-12-2019,09-12-19,9:15:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,,,N/A
1034,Section 5,No,09-12-2019,09-12-19,9:18:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,,,N/A
1035,Section 4,No,09-12-2019,09-12-19,10:30:00 AM,Loss/Damage/Theft,N/A,N/A,N/A,0,23-12-19,07-01-20,Low
1036,Section 2,,05-12-2019,06-12-19,9:15:00 AM,Injury,Face,Other,Contact with hot/cold materials or surfaces,0,30-12-19,18-12-19,
1037,Section 5,No,12-12-2019,12-12-2019,12:01:00 AM,Category 1 / 2 Near Miss,N/A,N/a,N/a,0,,,N/a
1038,Section 5,No,13-12-2019,13-12-19,8:01:00 AM,Category 1 / 2 Near Miss,N/a,N/a,N/a,0,,,N/a
1039,Section 4,No,11-12-2019,11-12-19,,Injury,Leg,Sprain / Strain ,"Slip, trip or fall on same level",0,25-12-19,29-01-20,Low
1040,Section 4,Yes,18-12-2019,18-12-19,11:00:00 PM,Injury,Back / Buttocks,Sprain / Strain ,"Injured by carrying, handling or lifting",1,12-01-20,16-01-20,Medium
1041,Section 5,Yes,07-01-2020,07-01-20,10:00:00 AM,Utility Damage,N/A,N/A,N/A,0,,16-01-20,Low
1042,Section 5,No,09-01-2020,09-01-20,2:30:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,,,N/A
1043,Section 4,No,09-01-2020,09-01-2020,5:45:00 AM,Category 1 / 2 Near Miss,,,N/A,0,13-01-20,16-01-20,Low
1044,Section 5,No,10-01-2020,14-01-20,9:30:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,,,N/A
1045,Section 2,No,11-01-2020,13-01-20,4:30:00 PM,Injury,Hand,Cut / Laceration,"Struck by a falling, flying or moving object",0,25-01-20,,Low
1046,Section 2,No,14-01-2020,14-01-20,3:30:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,14-01-20,14-01-20,Low
1047,Section 5,No,21-01-2020,21-01-20,8:59:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,,,N/A
1048,Section 4,Yes,23-01-2020,24-01-20,8:00:00 PM,Injury,Foot / Ankle,Sprain / Strain ,"Slip, trip or fall on same level",1,07-02-20,07-02-20,Medium
1049,Section 2,No,20-01-2020,20-01-20,3:45:00 PM,Road Traffic Accidents,N/A,N/A,N/A,0,,,N/A
1050,Section 1,Yes,28-01-2020,28-01-20,1:00:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,,,Low
1051,Section 4,Yes,29-01-2020,29-01-20,3:30:00 PM,Utility Damage,N/A,N/A,Struck against a fixed or stationary object,0,07-02-20,,Medium
1052,Section 4,No,30-01-2020,30-01-20,10:00:00 AM,Road Traffic Accidents,N/A,N/A,"Struck by a falling, flying or moving object",0,30-01-20,30-01-20,N/A
1053,Section 5,No,03-02-2020,04-02-20,11:15:00 PM,Road Traffic Accidents,N/A,N/A,N/A,0,04-02-20,04-02-20,N/A
1054,Section 4,Yes,01-02-2020,03-02-20,12:30:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,18-02-20,,High
1055,Section 5,No,06-02-2020,06-02-20,2:00:00 PM,Injury,Hand,Bruise / Contusion,"Struck by a falling, flying or moving object",1,15-02-20,10-02-20,Low
1056,Section 4,Yes,08-02-2020,10-02-20,4:30:00 PM,Utility Damage,N/A,N/A,Struck against a fixed or stationary object,0,23-02-20,,
1057,Section 5,No,11-02-2020,11-02-20,1:00:00 PM,Injury,Leg,Abrasion,Fall from height,,25-02-20,,Low
1058,Section 4,Yes,13-02-2020,13-02-20,1:30:00 AM,Utility Damage,N/A,N/A,Struck against a fixed or stationary object,0,27-02-20,,Medium
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
